,UID,SITE_ID,STATE,DATE_COL,Ammonia,Chlorophyll A,Dissolved Inorganic Nitrogen,Dissolved Inorganic Phosphate,Dissolved Silica,Nitrate,Nitrate/Nitrite,Nitrite,Nitrogen Particulate,Phosphorus Particulate,Total Dissolved Nitrogen,Total Dissolved Phosphorus,Total Kjeldahl Nitrogen,Total Nitrogen,Total Phosphorus,WTBDY_NM,EPA_REG,NCA_REGION,STATION_DEPTH
81,335,NCCAGL10-1138,NY,7/8/2010,0.005,6.68,0.157,0.004,,,0.152,,,,,,,0.53875,0.00881125,Lake Erie,2,Great Lakes,10.5
82,336,NCCA10-1154,NC,6/29/2010,0.002,1.5,0.012,0.01,,,0.01,,,,,,,0.265375,0.027395,Pamlico Sound,4,East Coast,0.7
83,337,NCCA10-1153,NC,7/7/2010,0.0,9.47984,0.012,0.064,,,0.012,,,,,,,0.485,0.09164625,Neuse River,4,East Coast,6.5
84,338,NCCA10-1163,NC,6/23/2010,0.006,19.9,0.006,0.021,,,0.0,,,,,,,0.916875,0.052929375,Pungo River,4,East Coast,1.3
85,339,NCCA10-1158,NC,6/28/2010,0.031,4.04,0.124,0.021,,,0.093,,,,,,,0.7935,0.02490475,Alligator River,4,East Coast,2.5
86,340,NCCA10-1152,NC,6/30/2010,0.003,2.55,0.01,0.008,,,0.007,,,,,,,0.3255,0.027556,Pamlico Sound,4,East Coast,3.3
87,341,NCCA10-1151,NC,7/7/2010,0.006,11.05504,0.02,0.045,,,0.014,,,,,,,0.645,0.083615,Pamlico Sound,4,East Coast,4.0
88,342,NCCA10-1144,NC,7/7/2010,0.001,4.93,0.015,0.011,,,0.014,,,,,,,0.3975,0.0344625,Pamlico Sound,4,East Coast,6.1
89,343,NCCA10-1143,NC,6/21/2010,0.004,7.27,0.004,0.013,,,0.0,,,,,,,0.388125,0.025033125,Bull Bay,4,East Coast,4.0
90,344,NCCA10-1140,NC,7/7/2010,0.002,7.76,0.015,0.008,,,0.013,,,,,,,0.545,0.0513,Pamlico Sound,4,East Coast,1.0
91,345,NCCA10-1138,NC,6/28/2010,0.01,4.13848,0.028,0.042,,,0.018,,,,,,,0.364,0.045927125,Core Sound,4,East Coast,0.7
