UID,Site ID,State,Date Collected,Chlorophyll A,Dissolved Inorganic Nitrogen,Ammonia,Nitrate/Nitrite,Total Nitrogen,Total Phosphorus,Dissolved Inorganic Phosphate,Waterbody Name,NCCR Region,EPA Region,Province,NCA Region,Latitude,Longitude
542,NCCAGL10-1059,WI,7/1/2010,0.0,0.259,0.0,0.259,0.259,0.0025,,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,43.32921,-87.8652
544,NCCAGL10-1048,WI,6/30/2010,0.6,0.279,0.0,0.279,0.429,0.0069,0.0,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,42.61346,-87.81008
545,NCCA10-1654,FL,6/24/2010,15.06,0.035,0.005,0.03,0.713125,0.049043125,0.022,Gasparilla Bay,Gulf,4,West Indian Province,Gulf Coast,26.30606,-82.22304
546,NCCA10-1650,FL,6/24/2010,4.24,0.047,0.0,0.047,0.348125,0.029493125,0.009,Pine Island Sound,Gulf,4,West Indian Province,Gulf Coast,26.57157,-82.17546
547,NCCA10-1482,FL,6/24/2010,2.5,0.017,0.0,0.017,0.261875,0.017600375,0.026,St. Joseph Bay,Gulf,4,Louisianian Province,Gulf Coast,29.77496,-85.34107
551,NCCA10-1478,FL,6/25/2010,2.13,0.013,0.0,0.013,0.273375,0.01146275,0.005,West Bay (St. Andrew),Gulf,4,Louisianian Province,Gulf Coast,30.27797,-85.7645
552,NCCA10-1474,FL,6/25/2010,1.51,0.014,0.0,0.014,0.2275,0.009526125,0.004,St. Andrew Bay,Gulf,4,Louisianian Province,Gulf Coast,30.15945,-85.70595
553,NCCA10-1305,FL,6/24/2010,8.0,0.01,0.003,0.007,0.435625,0.04783375,0.055,St. George Sound,Gulf,4,Louisianian Province,Gulf Coast,29.67822,-84.83543
554,NCCA10-1175,FL,6/30/2010,4.02,0.012,0.002,0.01,0.297125,0.032110625,0.021,Indian River Lagoon,Southeast,4,West Indian Province,East Coast,27.2027,-80.17471
555,NCCA10-1173,FL,6/28/2010,49.58,0.021,0.007,0.014,1.188,0.0471385,0.043,Banana River,Southeast,4,Carolinian Province,East Coast,28.33006,-80.64201
